id;codigo_postal;poblacion;provincia_id
198 ;01195;Zuhatzu;1
199 ;01195;Zumeltzu;1
200 ;01196;Andetxa;1
201 ;01196;Antezana;1
202 ;01196;Arangiz;1
203 ;01196;Artatza Foronda;1
204 ;01196;Etxabarri IbiÑa;1
205 ;01196;Foronda;1
206 ;01196;GereÑa;1
207 ;01196;Legarda;1
208 ;01196;Lopidana;1
209 ;01196;Mandojana;1
210 ;01196;Mendarozketa;1
211 ;01196;Mendiguren;1
212 ;01196;Yurre/ihurre;1
213 ;01200;Agurain;1
214 ;01200;Salvatierra;1
215 ;01206;Arrieta;1
216 ;01206;Audikana;1
217 ;01206;Barrundia;1
218 ;01206;Dallo;1
219 ;01206;Elgea;1
220 ;01206;Etura;1
221 ;01206;Etxabarri UrtupiÑa;1
222 ;01206;Ezkerekotxa;1
223 ;01206;Gazeo;1
224 ;01206;Gebara;1
225 ;01206;Heredia;1
226 ;01206;Langarika;1
227 ;01206;Marieta-larrintzar;1
228 ;01206;Maturana;1
229 ;01206;Mendixur / Mendijur;1
230 ;01206;Ozaeta;1
231 ;01207;Adana;1
232 ;01207;Alaitza;1
233 ;01207;Alangua;1
234 ;01207;Arrizala;1
235 ;01207;BikuÑa;1
236 ;01207;Durruma Donemiliaga;1
237 ;01207;Egilatz;1
238 ;01207;Egileor;1
239 ;01207;Eguilaz;1
240 ;01207;GereÑu;1
241 ;01207;Jauregi;1
242 ;01207;Mezkia;1
243 ;01207;Munain;1
244 ;01207;Okariz;1
245 ;01207;Opakua;1
246 ;01207;San Roman De San Millan;1
247 ;01207;Txintxetru;1
248 ;01207;Ullibarri-jauregi;1
249 ;01207;Uribarri-jauregi;1
250 ;01208;Albeiz;1
251 ;01208;Albeniz;1
252 ;01208;Ametzaga (asparrena);1
253 ;01208;Arriola (asparrena);1
254 ;01208;Axpuru;1
255 ;01208;Barria;1
256 ;01208;Donemiliaga;1
257 ;01208;ErdoÑana;1
258 ;01208;Galarreta;1
259 ;01208;Gordoa;1
260 ;01208;Hermua;1
261 ;01208;Larrea;1
262 ;01208;Luzuriaga;1
263 ;01208;Narbaiza;1
264 ;01208;OrdoÑana;1
265 ;01208;San Millan;1
266 ;01208;Zalduondo;1
267 ;01208;Zuazo De San Millan;1
268 ;01208;Zuhatzu Donemiliaga;1
269 ;01211;Baroja;1
270 ;01211;Berantevilla;1
271 ;01211;Escanzana;1
272 ;01211;Lacorzana;1
273 ;01211;Lacorzanilla;1
274 ;01211;Mijancas;1
275 ;01211;Moraza;1
276 ;01211;Pagoeta;1
277 ;01211;Payueta;1
278 ;01211;Pipaon;1
279 ;01211;Santurde;1
280 ;01211;Tobera;1
281 ;01212;Berganzo;1
282 ;01212;Gatzaga Buradon;1
283 ;01212;Loza;1
284 ;01212;Montoria;1
285 ;01212;Ocio;1
286 ;01212;PeÑacerrada;1
287 ;01212;Portilla;1
288 ;01212;Salinillas De Buradon;1
289 ;01212;Santa Cruz Del Fierro;1
290 ;01212;Urizaharra;1
291 ;01212;Zabalate;1
292 ;01212;Zambrana;1
293 ;01213;Caicedo De Yuso;1
294 ;01213;Comunion;1
295 ;01213;Erribera Beitia;1
296 ;01213;Igai;1
297 ;01213;Kaizedo Behekoa;1
298 ;01213;Komunioi;1
299 ;01213;Lantaron;1
300 ;01213;LeciÑana Del Camino;1
301 ;01213;LeziÑana;1
302 ;01213;Melledes;1
303 ;01213;Molinilla;1
304 ;01213;Quintanilla De La Ribera;1
305 ;01213;Ribabellosa;1
306 ;01213;Ribera Baja;1
307 ;01213;Salcedo;1
308 ;01213;San Miguel;1
309 ;01213;Turiso;1
310 ;01213;Villabezana;1
311 ;01213;Zubillaga;1
312 ;01216;Arluzea;1
313 ;01216;Faido;1
314 ;01216;Faidu;1
315 ;01216;Markinez;1
316 ;01216;Urarte;1
317 ;01220;Antezana De La Ribera;1
318 ;01220;ArmiÑon;1
319 ;01220;Estavillo;1
320 ;01220;Lacervilla;1
321 ;01220;LeciÑana De La Oca;1
322 ;01220;Manzanos;1
323 ;01220;Ribaguda;1
324 ;01230;IruÑa De Oca;1
325 ;01230;IruÑa Oka;1
326 ;01230;Langraiz Oka;1
327 ;01230;Nanclares De La Oca;1
328 ;01240;Alegria-dulantzi;1
329 ;01250;Araia;1
330 ;01250;Asparrena;1
331 ;01260;Andoin;1
332 ;01260;Egino;1
333 ;01260;Ibarguren;1
334 ;01260;Ilarduia;1
335 ;01260;Urabain;1
336 ;01300;Laguardia;1
337 ;01306;Lapuebla De Labarca;1
338 ;01307;BaÑos De Ebro;1
339 ;01307;Eskuernaga;1
340 ;01307;MaÑueta;1
341 ;01307;Samaniego;1
342 ;01307;Villabuena De Alava;1
343 ;01308;Asa;1
344 ;01308;Assa;1
345 ;01308;Binasperi;1
346 ;01308;"Campillar, El";1
347 ;01308;Kripan;1
348 ;01308;Lanciego;1
349 ;01308;Lantziego;1
350 ;01308;ViÑaspre;1
351 ;01309;Bilar;1
352 ;01309;Elvillar;1
353 ;01309;Leza;1
354 ;01309;Navaridas;1
355 ;01309;Paganos;1
356 ;01320;Oion;1
357 ;01320;Oyon;1
358 ;01321;Laserna;1
359 ;01322;Barriobusto;1
360 ;01322;Gorrebusto;1
361 ;01322;Labraza;1
362 ;01322;Moreda Araba;1
363 ;01322;Moreda De Alava;1
364 ;01322;Yecora / Iekora;1
365 ;01330;Bastida;1
366 ;01330;Labastida;1
367 ;01340;Elciego;1
368 ;01400;Laudio/llodio;1
369 ;01408;Luiaondo;1
370 ;01409;Billatxika;1
371 ;01409;Irabien;1
372 ;01409;Jandiola;1
373 ;01409;Okondo;1
374 ;01409;Okondogoiena;1
375 ;01409;San Roman;1
376 ;01409;Ugalde;1
